Date,Open,High,Low,Close,Adj Close,Volume,
10-08-2020,191.850006,207.300003,191.699997,196.5,194.702408,377105269,1
17-08-2020,198.449997,201.5,191.5,198.399994,196.585022,265924593,2
24-08-2020,200,225.899994,198.600006,224.850006,222.79306,402966295,3
31-08-2020,231.550003,231.550003,205.899994,206.600006,204.710022,335672764,4
07-09-2020,207.5,209.649994,192.5,202.699997,200.845688,258827562,5
14-09-2020,205.899994,206.199997,189.699997,192.600006,190.838089,264281145,6
21-09-2020,193.050003,193.5,175.5,182.199997,180.533218,245807686,7
28-09-2020,184,191.199997,182.399994,190.300003,188.559128,158840081,8
05-10-2020,192,198.800003,187.050003,198.300003,196.485947,215630301,9
12-10-2020,199.699997,205.949997,191.600006,195.949997,194.15744,230696847,10
19-10-2020,196.199997,207.300003,196.050003,202.800003,200.944778,220481712,11
26-10-2020,202.699997,204,185.899994,189.25,187.518723,216065182,12
02-11-2020,192.199997,221.850006,190.050003,219.199997,217.194748,451238907,13
09-11-2020,222.5,239.350006,217.050003,229.649994,227.549149,440038518,14
16-11-2020,229.449997,253,229.449997,242.75,240.529312,351711050,15
23-11-2020,243.5,249.899994,238.100006,244.25,242.015579,298546188,16
30-11-2020,244.25,264.350006,244.100006,263.5,261.089478,252244821,17
07-12-2020,263.799988,276.25,263,272.450012,269.957611,279098107,18
14-12-2020,274,276.149994,265,271.450012,268.966766,147402530,19
21-12-2020,268.450012,269,248.25,266.850006,264.408844,163992242,20
28-12-2020,268.75,280,268,279.399994,276.844025,166874419,21
04-01-2021,281.850006,291.799988,277,286,283.383667,162699345,22
11-01-2021,288,310.899994,277.899994,303.850006,301.070374,227483550,23
18-01-2021,303.5,308.649994,282.399994,283.700012,281.104706,198968968,24
25-01-2021,284.5,290.649994,269.5,282.100006,279.519348,164264018,25
01-02-2021,285.100006,408.350006,282.75,393.100006,389.503906,651427529,26
08-02-2021,398,407.799988,385.549988,393.149994,389.553436,287405165,27
15-02-2021,397.5,427.700012,395,399.549988,395.894867,344445795,28
22-02-2021,400.600006,414.899994,385.649994,390.149994,386.580872,249069157,29
01-03-2021,395.100006,408.899994,378.100006,383.649994,380.14035,222263331,30
08-03-2021,388.450012,394.899994,377.5,381.100006,377.613678,125215695,31
15-03-2021,382.5,387.850006,357.25,371.149994,367.7547,213776284,32
22-03-2021,372,377.950012,345.200012,357.200012,353.932312,210027204,33
29-03-2021,357.200012,371.899994,356.299988,370.649994,367.259277,109939602,34
05-04-2021,367.5,369.200012,347.600006,353,349.770721,223758651,35
12-04-2021,344,347.549988,322.549988,339.899994,336.790558,216034215,36
19-04-2021,327.149994,339.899994,321.299988,336.450012,333.372162,187930297,37
26-04-2021,339.25,369.950012,339.25,353.5,350.266174,269460029,38
03-05-2021,349.600006,362.899994,341.399994,358.25,354.972717,216965713,39
10-05-2021,360.5,373.5,354.75,360.450012,357.152588,188790854,40
17-05-2021,364.399994,404.399994,363.649994,401.200012,397.529816,461372459,41
24-05-2021,417,433.649994,405.299988,422.049988,418.189056,389900463,42
31-05-2021,421,441.950012,418,433.600006,429.633392,212056464,43
07-06-2021,435.100006,437.399994,418.200012,429.600006,429.600006,133329490,44
14-06-2021,427,432.799988,402.649994,412.899994,412.899994,135017906,45
21-06-2021,406.350006,431,400.5,428.799988,428.799988,138238116,46
28-06-2021,430.700012,433.149994,417.149994,424.399994,424.399994,102569674,47
05-07-2021,426.5,436.5,421.049988,423.75,423.75,89430350,48
12-07-2021,426.5,432.950012,424.600006,430,430,58229852,49
19-07-2021,423.399994,429.950012,418.850006,428.899994,428.899994,58554429,50
26-07-2021,427.799988,444.399994,421.049988,431.799988,431.799988,126254072,51
02-08-2021,434.75,467.450012,431.799988,435.649994,435.649994,284441850,52
06-08-2021,443.700012,447,434,435.649994,435.649994,38221326,53
